mach,alpha_rad,beta_rad,drag,side,normal,roll,pitch,yaw
0,-0.4,-0.2,0.620931905,0.144,1.09179438,0.022,0.455,-0.032
0,-0.4,0.2,0.620931905,-0.144,1.09179438,-0.022,0.455,0.032
0,-0.261799387799149,-0.2,0.0969720662,0.144,1.16826685,0.022,0.309889357,-0.032
0,-0.261799387799149,0.2,0.0969720662,-0.144,1.16826685,-0.022,0.309889357,0.032
0,0,-0.2,0.0276848,0.144,-0.18,0.022,0.035,-0.032
0,0,0.2,0.0276848,-0.144,-0.18,-0.022,0.035,0.032
0,0.261799387799149,-0.2,0.1308528,0.144,-1.42,0.022,-0.239889357,-0.032
0,0.261799387799149,0.2,0.1308528,-0.144,-1.42,-0.022,-0.239889357,0.032
0,0.4,-0.2,0.650522276,0.144,-1.32704958,0.022,-0.385,-0.032
0,0.4,0.2,0.650522276,-0.144,-1.32704958,-0.022,-0.385,0.032
1,-0.4,-0.2,0.620931905,0.144,1.09179438,0.022,0.455,-0.032
1,-0.4,0.2,0.620931905,-0.144,1.09179438,-0.022,0.455,0.032
1,-0.261799387799149,-0.2,0.0969720662,0.144,1.16826685,0.022,0.309889357,-0.032
1,-0.261799387799149,0.2,0.0969720662,-0.144,1.16826685,-0.022,0.309889357,0.032
1,0,-0.2,0.0276848,0.144,-0.18,0.022,0.035,-0.032
1,0,0.2,0.0276848,-0.144,-0.18,-0.022,0.035,0.032
1,0.261799387799149,-0.2,0.1308528,0.144,-1.42,0.022,-0.239889357,-0.032
1,0.261799387799149,0.2,0.1308528,-0.144,-1.42,-0.022,-0.239889357,0.032
1,0.4,-0.2,0.650522276,0.144,-1.32704958,0.022,-0.385,-0.032
1,0.4,0.2,0.650522276,-0.144,-1.32704958,-0.022,-0.385,0.032
