pl_name,hostname,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,sy_dist,ra,dec,st_spectype,st_teff,st_mass,st_rad
11 Com b,11 Com,1,Radial Velocity,2007,323.21000000000,1.1780000000,12.20000000,4914.89848585,93.18460000,185.1787793,17.7932516,G8 III,4874.00,2.090000,13.760000
11 UMi b,11 UMi,1,Radial Velocity,2009,516.21997000000,1.5300000000,12.30000000,4684.81420000,125.32100000,229.2745954,71.8239428,K4 III,4213.00,2.780000,29.790000
14 And b,14 And,1,Radial Velocity,2008,186.76000000000,0.7750000000,13.10000000,1131.15130051,75.43920000,352.8241500,39.2358367,K0 III,4888.00,1.780000,11.550000
14 Her b,14 Her,2,Radial Velocity,2002,1766.41000000000,2.8390000000,12.50000000,2828.67282230,17.93230000,242.6021014,43.8163621,K0,5338.00,0.970000,0.930000
16 Cyg B b,16 Cyg B,1,Radial Velocity,1996,798.50000000000,1.6600000000,13.50000000,565.73740000,21.13970000,295.4656422,50.5168243,G3 V,5750.00,1.080000,1.130000
17 Sco b,17 Sco,1,Radial Velocity,2020,578.38000000000,1.4500000000,12.90000000,1373.01871824,124.95300000,243.4620874,-11.8377905,K3 III,4157.00,1.220000,25.920000
18 Del b,18 Del,1,Radial Velocity,2008,982.85000000000,2.4760000000,12.50000000,2926.24614325,76.22200000,314.6078375,10.8391378,G6 III,4980.00,2.100000,8.800000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,Imaging,2008,,330.0000000000,18.64700000,3000.00000000,139.13500000,242.3762343,-21.0831403,K7 V,4060.00,0.850000,1.313160
24 Boo b,24 Boo,1,Radial Velocity,2018,30.33000000000,0.1940000000,13.90000000,280.64248338,95.98630000,217.1555242,49.8446488,G3 IV,4816.00,1.050000,12.190000
24 Sex b,24 Sex,2,Radial Velocity,2010,452.80000000000,1.3330000000,13.40000000,632.46000000,72.06910000,155.8684866,-0.9023998,K0 IV,5098.00,1.540000,4.900000
24 Sex c,24 Sex,2,Radial Velocity,2010,883.00000000000,2.0800000000,13.90000000,273.32000000,72.06910000,155.8684866,-0.9023998,K0 IV,5098.00,1.540000,4.900000
2M0437 b,2MASS J04372171+2651014,1,Imaging,2021,,118.0000000000,13.00000000,1271.31362800,128.48400000,69.3405531,26.8502997,M V,3100.00,0.170000,0.840000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,Imaging,2013,,84.0000000000,12.30000000,4131.79000000,47.20000000,15.8992489,-55.2658291,M5.5/M6,,0.190000,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,Imaging,2013,,52.0000000000,11.20900000,7786.50000000,33.82810000,20.7128012,-24.6646128,M3.5 V,3530.00,0.400000,0.366450
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,Imaging,2015,,156.0000000000,16.14096000,4417.83700000,40.08964117,34.8427046,-39.4230767,M6,3064.00,0.108000,0.281000
2MASS J0249-0557 c,2MASS J0249-0557 A,1,Imaging,2018,,1950.0000000000,17.37392009,3616.88727166,66.06130000,42.4851627,-5.9599921,M6 V,2859.00,0.046000,0.315959
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,Imaging,2024,,572.0000000000,12.20000000,5720.91132600,117.43500000,59.7911026,20.1599759,,2943.00,0.264996,0.289776
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,Imaging,2010,,15.0000000000,12.60000000,2383.60000000,120.42398696,70.4371079,23.0308544,M8.5,2936.00,0.019000,0.231916
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,Imaging,2024,,266.0000000000,11.90000000,8899.19539600,,165.3295388,-77.5440912,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,Imaging,2024,,587.0000000000,12.10000000,6356.56814000,100.86200000,178.7691634,-79.3197558,,3021.00,0.588460,0.600455
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,Imaging,2004,,46.0000000000,15.69257298,1652.70771640,64.30800000,181.8890906,-39.5484399,M8,2825.00,0.188001,0.218870
2MASS J19383260+4603591 b,2MASS J19383260+4603591,3,Eclipse Timing Variations,2015,406.00000000000,0.9200000000,13.40000000,603.87700000,396.33200000,294.6359173,46.0664076,,29564.00,0.480000,0.203000
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,Imaging,2024,,7493.0000000000,12.40000000,3813.94088400,34.11540000,321.3662989,-81.6414894,,3592.00,0.643977,0.672832
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,Imaging,2016,,230.0000000000,12.30000000,3972.87500000,69.57370000,339.1025931,47.8616830,K7 V,4045.00,0.600000,0.641152
2MASS J22501512+2325342 b,2MASS J22501512+2325342,1,Imaging,2018,,518.0000000000,11.90000000,9534.85221000,57.23090000,342.5634097,23.4259058,M3,3352.00,0.433173,0.437589
4 UMa b,4 UMa,1,Radial Velocity,2006,270.27000000000,0.8770000000,12.60000000,2511.48007211,73.46030000,130.0528099,64.3280504,K1 III,4415.00,1.234000,18.110000
47 UMa b,47 UMa,3,Radial Velocity,1996,1078.00000000000,2.1000000000,13.20000000,804.08000000,13.79670000,164.8647611,40.4304931,G0V,5872.00,1.060000,1.213340
47 UMa c,47 UMa,3,Radial Velocity,2001,2391.00000000000,3.6000000000,14.20000000,171.62100000,13.79670000,164.8647611,40.4304931,G0V,5872.00,1.060000,1.213340
47 UMa d,47 UMa,3,Radial Velocity,2009,14002.00000000000,11.6000000000,13.50000000,521.22000000,13.79670000,164.8647611,40.4304931,G0V,5872.00,1.060000,1.213340
51 Eri b,51 Eri,1,Imaging,2015,9100.00000000000,10.4000000000,,3464.32963630,29.75750000,69.4007424,-2.4738245,F0 IV,7422.00,1.750000,1.450000
51 Peg b,51 Peg,1,Radial Velocity,1995,4.23079660000,0.0520000000,14.10000000,193.87532827,15.46140000,344.3675399,20.7690958,G5V,5761.00,1.070000,1.190000
55 Cnc b,55 Cnc,7,Radial Velocity,1996,14.65155200000,0.1180000000,13.90000000,263.97850000,12.58550000,133.1468373,28.3298154,G8 V,5198.00,1.015000,0.980000
55 Cnc B b,55 Cnc B,7,Radial Velocity,2025,6.79940000000,0.0440000000,1.69000000,3.50000000,12.47730000,133.1679080,28.3152863,M4.5 V,3286.00,0.260000,0.274000
55 Cnc B c,55 Cnc B,7,Radial Velocity,2025,33.74700000000,0.1300000000,2.16000000,5.30000000,12.47730000,133.1679080,28.3152863,M4.5 V,3286.00,0.260000,0.274000
55 Cnc c,55 Cnc,7,Radial Velocity,2004,44.39360000000,0.2470000000,8.51000000,54.47380000,12.58550000,133.1468373,28.3298154,G8 V,5198.00,1.015000,0.980000
55 Cnc d,55 Cnc,7,Radial Velocity,2002,4799.00000000000,5.6000000000,13.00000000,1232.49300000,12.58550000,133.1468373,28.3298154,G8 V,5198.00,1.015000,0.980000
55 Cnc e,55 Cnc,7,Radial Velocity,2004,0.73654740000,0.0154400000,1.87500000,7.99000000,12.58550000,133.1468373,28.3298154,G8 V,5172.00,0.905000,0.943000
55 Cnc f,55 Cnc,7,Radial Velocity,2007,260.58000000000,0.8020000000,7.59000000,44.81200000,12.58550000,133.1468373,28.3298154,G8 V,5198.00,1.015000,0.980000
6 Lyn b,6 Lyn,1,Radial Velocity,2008,919.86000000000,2.0280000000,13.40000000,597.83523357,54.65990000,97.6960311,58.1611753,K0 IV,4941.00,1.320000,4.940000
61 Vir b,61 Vir,3,Radial Velocity,2009,4.21500000000,0.0502010000,2.11000000,5.10000000,8.50332000,199.5964550,-18.3157745,G5 V,5577.00,0.942000,0.963000
61 Vir c,61 Vir,3,Radial Velocity,2009,38.02100000000,0.2175000000,4.46000000,18.20000000,8.50332000,199.5964550,-18.3157745,G5 V,5577.00,0.942000,0.963000
61 Vir d,61 Vir,3,Radial Velocity,2009,123.01000000000,0.4760000000,5.11000000,22.90000000,8.50332000,199.5964550,-18.3157745,G5 V,5577.00,0.942000,0.963000
7 CMa b,7 CMa,2,Radial Velocity,2011,735.10000000000,1.7580000000,13.40000000,587.98550000,19.81010000,99.1712760,-19.2561808,K1III(+M),4826.00,1.340000,4.870000
7 CMa c,7 CMa,2,Radial Velocity,2019,996.00000000000,2.1530000000,13.90000000,276.51210000,19.81010000,99.1712760,-19.2561808,K1III(+M),4826.00,1.340000,4.870000
70 Vir b,70 Vir,1,Radial Velocity,1996,116.68800000000,0.4810000000,12.60000000,2380.45000000,17.90110000,202.1064898,13.7763085,G5V,5495.00,1.090000,1.890000
75 Cet b,75 Cet,2,Radial Velocity,2012,696.62000000000,1.9120000000,13.30000000,787.89662095,82.96130000,38.0391598,-1.0350269,G3 III,4809.00,1.920000,10.380000
75 Cet c,75 Cet,2,Radial Velocity,2023,2051.62000000000,3.9290000000,13.90000000,289.85950718,82.96130000,38.0391598,-1.0350269,G3 III,4809.00,1.920000,10.380000
8 UMi b,8 UMi,1,Radial Velocity,2015,93.31000000000,0.4620000000,13.50000000,524.41687155,162.55200000,224.2016850,74.9009379,K0,4847.00,1.510000,10.730000
81 Cet b,81 Cet,1,Radial Velocity,2008,1005.57000000000,2.1040000000,13.10000000,1051.05854195,101.26000000,39.4243555,-3.3963607,G5 III,4734.00,1.230000,11.210000
91 Aqr b,91 Aqr,1,Radial Velocity,2013,181.40000000000,0.7000000000,13.10000000,1017.00000000,44.03040000,348.9745031,-9.0878076,K0 III,4665.00,1.400000,11.000000
AB Aur b,AB Aur,1,Imaging,2022,,93.9000000000,12.50000000,2860.45566300,162.12700000,73.9410446,30.5510888,,9770.00,2.400000,2.958870
AB Pic b,AB Pic,1,Imaging,2005,,260.0000000000,12.30000000,4290.50000000,50.04750000,94.8039208,-58.0541184,K2 V,5285.00,0.900000,0.999394
AF Lep b,AF Lep,1,Imaging,2023,8905.00000000000,8.9960000000,13.00000000,1147.36054927,26.85640000,81.7699216,-11.9011752,F8,6140.00,1.218000,1.250000
alf Ari b,alf Ari,1,Radial Velocity,2010,380.80000000000,1.2000000000,13.40000000,572.07000000,20.21019000,31.7932860,23.4624210,K2III,4553.00,1.500000,13.900000
alf Tau b,alf Tau,1,Radial Velocity,2015,628.96000000000,1.4600000000,12.70000000,2056.36010000,20.43320000,68.9801740,16.5092010,K5 III,4055.00,1.130000,45.100000
AT2021ueyL b,AT2021ueyL,1,Microlensing,2025,4168.69000000000,4.0100000000,13.60000000,425.89006538,1040.00000000,324.5450417,26.4665694,M V,3680.00,0.490000,
AU Mic b,AU Mic,4,Transit,2020,8.46344600000,0.0700000000,4.79000000,8.99000000,9.72210000,311.2911369,-31.3424500,M1 V,3540.00,0.635000,0.862000
AU Mic c,AU Mic,4,Transit,2021,18.85902300000,0.1190000000,2.79000000,14.46000000,9.72210000,311.2911369,-31.3424500,M1 V,3540.00,0.635000,0.862000
AU Mic d,AU Mic,4,Transit Timing Variations,2023,12.73596000000,,1.02000000,1.05300000,9.72210000,311.2911369,-31.3424500,M1 V,3678.00,0.510000,0.744000
