Requirement,Category,Implementation,Verification evidence,Method,Status
SYS-DYN-001,Dynamics,src/aerognc/dynamics/three_dof.py,tests/integration/test_three_dof.py,T/C,Verified
SYS-DYN-002,Dynamics,src/aerognc/dynamics/six_dof.py,tests/validation/test_six_dof_benchmarks.py,T/C,Verified
SYS-DYN-003,Dynamics,src/aerognc/dynamics/six_dof.py,tests/unit/test_six_dof.py,T,Verified
SYS-DYN-004,Dynamics,src/aerognc/dynamics/six_dof.py,tests/validation/test_six_dof_benchmarks.py,T/C,Verified
SYS-DYN-005,Dynamics,src/aerognc/dynamics/three_dof.py; src/aerognc/dynamics/six_dof.py,tests/validation/test_cross_model.py,T/C,Verified
SYS-ENV-001,Environment,src/aerognc/environment/atmosphere.py,tests/unit/test_atmosphere.py,T/C,Verified
SYS-ENV-002,Environment,src/aerognc/environment/atmosphere.py,tests/unit/test_atmosphere.py,T,Verified
SYS-ENV-003,Environment,src/aerognc/environment/gravity.py,tests/unit/test_environment.py,T,Verified
SYS-ENV-004,Environment,src/aerognc/environment/wind.py,tests/unit/test_environment.py,T,Verified
SYS-ENV-005,Environment,src/aerognc/environment/atmosphere.py,tests/unit/test_atmosphere.py,T,Verified
SYS-VEH-001,Vehicle,src/aerognc/vehicle/propulsion.py,tests/unit/test_propulsion.py,T,Verified
SYS-VEH-002,Vehicle,src/aerognc/vehicle/propulsion.py,tests/unit/test_propulsion.py,T,Verified
SYS-VEH-003,Vehicle,src/aerognc/vehicle/mass_properties.py,tests/unit/test_mass_properties.py,T,Verified
SYS-VEH-004,Vehicle,src/aerognc/vehicle/aerodynamics.py,tests/unit/test_aerodynamics.py,T,Verified
SYS-VEH-005,Vehicle,src/aerognc/vehicle/aerodynamics.py,tests/unit/test_aerodynamics.py,T/A,Verified
SYS-VEH-006,Vehicle,src/aerognc/vehicle/actuators.py,tests/unit/test_actuators.py,T,Verified
SYS-VEH-007,Vehicle,configs/vehicle_asteria_sr1.yaml,tests/unit/test_configuration.py,A,Verified
SYS-GUI-001,Guidance,src/aerognc/gnc/guidance.py,tests/unit/test_guidance.py,T,Verified
SYS-GUI-002,Guidance,src/aerognc/gnc/guidance.py; docs/public_safety.md,tests/unit/test_public_scope.py,T/A,Verified
SYS-NAV-001,Navigation,src/aerognc/vehicle/sensors.py,tests/unit/test_sensors.py,T,Verified
SYS-NAV-002,Navigation,src/aerognc/vehicle/sensors.py,tests/unit/test_sensors.py,T,Verified
SYS-NAV-003,Navigation,src/aerognc/gnc/ekf.py,tests/validation/test_navigation_filter.py; tests/integration/test_navigation_demo.py,T/C,Verified
SYS-NAV-004,Navigation,docs/navigation_filter.md,tests/unit/test_documentation.py,T/A,Verified
SYS-CTL-001,Control,src/aerognc/gnc/pid.py,tests/unit/test_pid.py,T,Verified
SYS-CTL-002,Control,src/aerognc/gnc/control_loops.py,tests/integration/test_attitude_control.py,T/D,Verified
SYS-CTL-003,Control,src/aerognc/gnc/state_feedback.py,tests/unit/test_state_feedback.py,T,Verified
SYS-CTL-004,Control,src/aerognc/verification/metrics.py,tests/integration/test_attitude_control.py,T/D,Verified
SYS-CTL-005,Control,src/aerognc/vehicle/actuators.py,tests/unit/test_actuators.py,T,Verified
SYS-SIM-001,Simulation,src/aerognc/cli.py; src/aerognc/simulation/simulator.py,tests/integration/test_cli.py,T/D,Verified
SYS-SIM-002,Simulation,src/aerognc/simulation/events.py,tests/integration/test_three_dof.py,T,Verified
SYS-SIM-003,Simulation,src/aerognc/configuration/loader.py,tests/unit/test_configuration.py,T,Verified
SYS-SIM-004,Simulation,src/aerognc/simulation/logging.py,tests/unit/test_logging.py,T,Verified
SYS-SIM-005,Simulation,src/aerognc/simulation/six_dof_simulator.py,tests/integration/test_six_dof_simulation.py,T/D,Verified
SYS-SIM-006,Simulation,src/aerognc/mathematics/integrators.py,tests/unit/test_integrators.py,T,Verified
SYS-SIM-007,Simulation,src/aerognc/simulation/hil.py; docs/future_hil.md,tests/unit/test_hil.py,T/A,Verified
SYS-SIM-008,Simulation,src/aerognc/visualisation/playback.py; src/aerognc/cli.py,tests/unit/test_playback.py; tests/integration/test_cli.py,T/D,Verified
SYS-SIM-009,Simulation,src/aerognc/visualisation/playback_3d.py; src/aerognc/cli.py,tests/unit/test_playback_3d.py; tests/integration/test_cli.py,T/D,Verified
SYS-AST-001,Astrodynamics,src/aerognc/astrodynamics/bodies.py,tests/unit/test_astrodynamics.py,T/C,Verified
SYS-AST-002,Astrodynamics,src/aerognc/astrodynamics/dynamics.py; src/aerognc/simulation/interplanetary.py,tests/unit/test_astrodynamics.py; tests/integration/test_interplanetary.py,T/A,Verified
SYS-AST-003,Astrodynamics,src/aerognc/astrodynamics/transfers.py,tests/unit/test_astrodynamics.py,T/C,Verified
SYS-AST-004,Astrodynamics,src/aerognc/simulation/interplanetary.py; configs/interplanetary_gravity_assist.yaml,tests/integration/test_interplanetary.py,T/D,Verified
SYS-AST-005,Astrodynamics,src/aerognc/visualisation/mission_control.py; src/aerognc/cli.py,tests/unit/test_mission_control.py; tests/integration/test_cli.py,T/D,Verified
SYS-AST-006,Astrodynamics,configs/interplanetary_gravity_assist.yaml; docs/interplanetary_mission.md,tests/unit/test_interplanetary_configuration.py; tests/unit/test_public_scope.py,T/A,Verified
SYS-PER-001,Performance,src/aerognc/simulation/monte_carlo.py,tests/integration/test_monte_carlo.py,T/D,Verified
SYS-PER-002,Performance,src/aerognc/simulation/monte_carlo.py,tests/unit/test_monte_carlo.py,T,Verified
SYS-PER-003,Performance,src/aerognc/simulation/monte_carlo.py,tests/integration/test_monte_carlo.py,T/D,Verified
SYS-PER-004,Performance,src/aerognc/simulation/simulator.py,tests/integration/test_three_dof.py,T/D,Verified
SYS-VER-001,Verification,src/aerognc/mathematics/integrators.py,tests/validation/test_rk4_reference.py,T/C,Verified
SYS-VER-002,Verification,src/aerognc/mathematics/integrators.py,tests/validation/test_rk4_reference.py,T/C,Verified
SYS-VER-003,Verification,src/aerognc/mathematics/quaternion.py,tests/unit/test_quaternion.py,T/C,Verified
SYS-VER-004,Verification,src/aerognc/verification/flight_test.py,tests/integration/test_flight_test.py,T/D,Verified
SYS-VER-005,Verification,src/aerognc/verification/cross_language.py; matlab_validation/validate_constant_acceleration.m,docs/matlab_validation.md,C,Verified
SYS-VER-006,Verification,requirements/traceability_matrix.csv,tests/unit/test_traceability.py,T/A,Verified
SYS-SWQ-001,Software quality,pyproject.toml; requirements/lock-py313-windows.txt; src/aerognc/py.typed; .github/workflows/ci.yml,tests/unit/test_repository_policy.py; docs/validation_report.md,T/D,Verified
SYS-SWQ-002,Software quality,pyproject.toml; .github/workflows/ci.yml,docs/validation_report.md,T,Verified
SYS-SWQ-003,Software quality,src/aerognc,ruff check .; mypy src; pytest,T/A,Verified
SYS-SWQ-004,Software quality,.github/workflows/ci.yml,tests/unit/test_repository_policy.py; .github/workflows/ci.yml,T/A,Verified
SYS-SWQ-005,Software quality,README.md; docs,tests/unit/test_documentation.py,T/A,Verified
SYS-SWQ-006,Software quality,scripts/generate_reference_results.py; .gitignore,tests/integration/test_reference_generation.py,T/A,Verified
SYS-NAV-005,Navigation,src/aerognc/gnc/error_state_ekf.py; docs/error_state_navigation.md,tests/unit/test_error_state_ekf.py,T/A,Verified
SYS-CTL-006,Control,src/aerognc/gnc/flight_analysis.py,tests/unit/test_flight_analysis.py,T/C,Verified
SYS-CTL-007,Control,src/aerognc/gnc/flight_analysis.py; configs/flight_control_analysis.yaml,tests/unit/test_flight_analysis.py; tests/integration/test_flight_control_analysis.py,T/C,Verified
SYS-CTL-008,Control,src/aerognc/gnc/flight_analysis.py; src/aerognc/verification/flight_control_analysis.py,tests/unit/test_flight_analysis.py; tests/integration/test_flight_control_analysis.py,T/D,Verified
SYS-SIM-010,Simulation,src/aerognc/visualisation/mission_designer.py; src/aerognc/cli.py; run_aerognc.bat,tests/integration/test_cli.py; docs/mission_designer.md,T/D,Verified
SYS-AST-007,Astrodynamics,src/aerognc/astrodynamics/kepler.py; src/aerognc/astrodynamics/orbital_elements.py; matlab_validation/validate_two_body_case.m,tests/unit/test_orbit_design.py; matlab_validation/two_body_matlab_result.json,T/C,Verified
SYS-AST-008,Astrodynamics,src/aerognc/astrodynamics/lambert.py; src/aerognc/astrodynamics/mission_design.py,tests/unit/test_orbit_design.py; tests/unit/test_mission_planner.py,T/C,Verified
SYS-AST-009,Astrodynamics,src/aerognc/astrodynamics/bplane.py; src/aerognc/astrodynamics/mission_design.py,tests/unit/test_orbit_design.py; docs/advanced_astrodynamics.md,T/A,Verified
SYS-AST-010,Astrodynamics,src/aerognc/astrodynamics/maneuvers.py; src/aerognc/simulation/interplanetary.py,tests/unit/test_maneuvers.py; tests/unit/test_mission_planner.py,T/D,Verified
SYS-AST-011,Astrodynamics,src/aerognc/astrodynamics/perturbations.py; src/aerognc/configuration/interplanetary_loader.py,tests/unit/test_advanced_astrodynamics.py,T/A,Verified
